name,category,url,localpath
a plate of french toast with butter and berries,Unsplash+,https://plus.unsplash.com/premium_photo-1695084221958-079096c96e05?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://plus.unsplash.com/premium_photo-1695084221958-079096c96e05?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
a beach with rocks and water at dusk,le Sixième Rêve,https://images.unsplash.com/photo-1715704698525-6581ceb2d32f?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://images.unsplash.com/photo-1715704698525-6581ceb2d32f?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
a group of stars that are in the sky,Steve Busch,https://images.unsplash.com/photo-1715954410040-37496c8aa689?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://images.unsplash.com/photo-1715954410040-37496c8aa689?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
a half moon in a dark blue sky,Luke Thornton,https://images.unsplash.com/photo-1714828099295-b799256b2be7?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://images.unsplash.com/photo-1714828099295-b799256b2be7?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
a bright green and blue aurora aurora aurora aurora aurora aurora aurora aurora aurora aurora aurora,Kristaps Ungurs,https://images.unsplash.com/photo-1715708098689-9077c95a4f89?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://images.unsplash.com/photo-1715708098689-9077c95a4f89?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
a single red flower with a blue sky in the background,Wenhao Ruan,https://images.unsplash.com/photo-1716179276303-3869febaa84a?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://images.unsplash.com/photo-1716179276303-3869febaa84a?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
looking up at a very tall building with a sky in the background,rawkkim,https://images.unsplash.com/photo-1716033754000-fbf7dfefabda?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://images.unsplash.com/photo-1716033754000-fbf7dfefabda?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
a close up of a stuffed animal with eyes,Matthieu Marseille,https://images.unsplash.com/photo-1715588561967-6d413b6690bf?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://images.unsplash.com/photo-1715588561967-6d413b6690bf?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
the tokyo tower is lit up at night,ZHENYU LUO,https://images.unsplash.com/photo-1716136716704-7d5f7bbb6de4?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://images.unsplash.com/photo-1716136716704-7d5f7bbb6de4?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
a blue and black background with wavy lines,and machines,https://images.unsplash.com/photo-1714779573250-36242918e044?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,/Users/kseniaalekseeva/Documents/data_col_markup/homework6/unsplash/unsplash/spiders/images/https://images.unsplash.com/photo-1714779573250-36242918e044?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D.jpg
